"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"mean-effect"
"05/25/2026 19:52:51:357 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","sd-threshold","mean-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","20","25","4","99.18181818181819","2.587318085592311","4","0"
"fully connected","normal","100","20","25","5","100","N/A","5","N/A"
"fully connected","normal","100","20","26","0","0","0","0","0"
"fully connected","normal","100","20","26","1","18.133333333333333","8.64381602971486","1","0"
"fully connected","normal","100","20","26","2","58.733333333333334","24.389797502689976","2","0"
"fully connected","normal","100","20","26","3","91.26666666666667","19.611107963487314","3","0"
"fully connected","normal","100","20","26","4","97.625","6.122448448129228","4","0"
"fully connected","normal","100","20","26","5","100","0","5","0"
"fully connected","normal","100","20","27","0","0","0","0","0"
"fully connected","normal","100","20","27","1","18.866666666666667","8.712953319945859","1","0"
"fully connected","normal","100","20","27","2","59.13333333333333","24.888730158224003","2","0"
"fully connected","normal","100","20","27","3","89.93333333333334","19.48321214675741","3","0"
"fully connected","normal","100","20","27","4","98.26666666666667","3.855155278613591","4","0"
"fully connected","normal","100","20","27","5","100","0","5","0"
"fully connected","normal","100","20","28","0","0","0","0","0"
"fully connected","normal","100","20","28","1","15.066666666666666","6.913432979031152","1","0"
"fully connected","normal","100","20","28","2","45.13793103448276","20.891714473695455","2","0"
"fully connected","normal","100","20","28","3","84.65517241379311","20.20801456245715","3","0"
"fully connected","normal","100","20","28","4","98.13636363636364","3.980583037987532","4","0"
"fully connected","normal","100","20","28","5","100","0","5","0"
"fully connected","normal","100","20","29","0","0","0","0","0"
"fully connected","normal","100","20","29","1","12.8","5.770037550426629","1","0"
"fully connected","normal","100","20","29","2","35.63333333333333","20.933996804772427","2","0"
"fully connected","normal","100","20","29","3","70.8","31.779867841134894","3","0"
"fully connected","normal","100","20","29","4","89.44","24.587931999255247","4","0"
"fully connected","normal","100","20","29","5","90.66666666666667","26.046966127448407","5","0"
"fully connected","normal","100","20","29","6","71","N/A","6","N/A"
"fully connected","normal","100","20","29","7","93","N/A","7","N/A"
"fully connected","normal","100","20","29","8","100","N/A","8","N/A"
"fully connected","normal","100","20","30","0","0","0","0","0"
"fully connected","normal","100","20","30","1","11.766666666666667","5.690245064045035","1","0"
"fully connected","normal","100","20","30","2","30.166666666666668","20.164462689483088","2","0"
"fully connected","normal","100","20","30","3","59.10344827586207","31.740700324266804","3","0"
"fully connected","normal","100","20","30","4","80.5","29.72553015266747","4","0"
"fully connected","normal","100","20","30","5","81.75","30.252066045148055","5","0"
"fully connected","normal","100","20","30","6","81.14285714285714","28.77711675932097","6","0"
"fully connected","normal","100","20","30","7","100","0","7","0"
"fully connected","normal","100","20","31","0","0","0","0","0"
"fully connected","normal","100","20","31","1","10.5","4.455333881989093","1","0"
"fully connected","normal","100","20","31","2","24.666666666666668","17.88171008476414","2","0"
"fully connected","normal","100","20","31","3","54.2962962962963","32.16487020293208","3","0"
"fully connected","normal","100","20","31","4","80.12","30.693738775196483","4","0"
"fully connected","normal","100","20","31","5","87.14285714285714","25.11646341931677","5","0"
"fully connected","normal","100","20","31","6","84.83333333333333","32.59047236369687","6","0"
"fully connected","normal","100","20","31","7","59","N/A","7","N/A"
"fully connected","normal","100","20","31","8","21","N/A","8","N/A"
"fully connected","normal","100","20","31","9","28","N/A","9","N/A"
"fully connected","normal","100","20","31","10","40","N/A","10","N/A"
"fully connected","normal","100","20","31","11","81","N/A","11","N/A"
"fully connected","normal","100","20","31","12","100","N/A","12","N/A"
"fully connected","normal","100","20","32","0","0","0","0","0"
"fully connected","normal","100","20","32","1","8.166666666666666","4.0831632617643665","1","0"
"fully connected","normal","100","20","32","2","18.444444444444443","12.27262335243029","2","0"
"fully connected","normal","100","20","32","3","40.875","28.875180374617","3","0"
"fully connected","normal","100","20","32","4","69.85714285714286","30.139810272549923","4","0"
"fully connected","normal","100","20","32","5","85.61111111111111","23.779400256171517","5","0"
"fully connected","normal","100","20","32","6","88.77777777777777","25.363043007834925","6","0"
"fully connected","normal","100","20","32","7","73.33333333333333","37.71236166328253","7","0"
"fully connected","normal","100","20","32","8","42","N/A","8","N/A"
"fully connected","normal","100","20","32","9","90","N/A","9","N/A"
"fully connected","normal","100","20","32","10","100","N/A","10","N/A"
"fully connected","normal","100","20","33","0","0","0","0","0"
"fully connected","normal","100","20","33","1","6.966666666666667","4.094576358496146","1","0"
"fully connected","normal","100","20","33","2","14.96551724137931","11.654458251941806","2","0"
"fully connected","normal","100","20","33","3","36.714285714285715","30.67516888942191","3","0"
"fully connected","normal","100","20","33","4","64.82352941176471","34.10750356311582","4","0"
"fully connected","normal","100","20","33","5","85.91666666666667","25.65949575151901","5","0"
"fully connected","normal","100","20","33","6","86.71428571428571","26.590622867653853","6","0"
"fully connected","normal","100","20","33","7","83","N/A","7","N/A"
"fully connected","normal","100","20","33","8","99","N/A","8","N/A"
"fully connected","normal","100","20","33","9","100","N/A","9","N/A"
"fully connected","normal","100","20","34","0","0","0","0","0"
"fully connected","normal","100","20","34","1","6.366666666666666","4.110825815926636","1","0"
"fully connected","normal","100","20","34","2","11.636363636363637","6.752410038076335","2","0"
"fully connected","normal","100","20","34","3","23.764705882352942","18.421628630066426","3","0"
"fully connected","normal","100","20","34","4","41.8","30.338534352645755","4","0"
"fully connected","normal","100","20","34","5","60.15384615384615","32.47447791691702","5","0"
"fully connected","normal","100","20","34","6","77.1","32.80076218626635","6","0"
"fully connected","normal","100","20","34","7","83.7","32.42853681558883","7","0"
"fully connected","normal","100","20","34","8","48.666666666666664","36.527006751473934","8","0"
"fully connected","normal","100","20","34","9","26.5","N/A","9","N/A"
"fully connected","normal","100","20","34","10","44.5","N/A","10","N/A"
"fully connected","normal","100","20","34","11","67.5","N/A","11","N/A"
"fully connected","normal","100","20","34","12","90.5","N/A","12","N/A"
"fully connected","normal","100","20","34","13","100","N/A","13","N/A"
"fully connected","normal","100","20","35","0","0","0","0","0"
"fully connected","normal","100","20","35","1","5.166666666666667","2.098941532190822","1","0"
"fully connected","normal","100","20","35","2","8.863636363636363","3.441662581124717","2","0"
"fully connected","normal","100","20","35","3","15.88888888888889","6.935327348589882","3","0"
"fully connected","normal","100","20","35","4","30.571428571428573","20.33193928532251","4","0"
"fully connected","normal","100","20","35","5","55.333333333333336","33.772112097936","5","0"
"fully connected","normal","100","20","35","6","69.6","30.624173458233937","6","0"
"fully connected","normal","100","20","35","7","99","1.4142135623730951","7","0"
"fully connected","normal","100","20","35","8","100","N/A","8","N/A"
"fully connected","normal","100","20","36","0","0","0","0","0"
"fully connected","normal","100","20","36","1","4.413793103448276","2.64597601286219","1","0"
"fully connected","normal","100","20","36","2","8.277777777777779","4.343648690975973","2","0"
"fully connected","normal","100","20","36","3","14.5","7.671375365604267","3","0"
"fully connected","normal","100","20","36","4","37.8","23.163764806265842","4","0"
"fully connected","normal","100","20","36","5","71.25","22.76373211931646","5","0"
"fully connected","normal","100","20","36","6","92.75","6.905613658466566","6","0"
"fully connected","normal","100","20","36","7","100","0","7","0"
"fully connected","normal","100","20","37","0","0","0","0","0"
