"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:35:455 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","final-proportion","ticks"
"122","fully connected","normal","100","25","7","0","0","0"
"128","fully connected","normal","100","25","7","0","0","0"
"129","fully connected","normal","100","25","7","0","0","0"
"130","fully connected","normal","100","25","7","0","0","0"
"131","fully connected","normal","100","25","7","0","0","0"
"133","fully connected","normal","100","25","7","0","0","0"
"132","fully connected","normal","100","25","7","0","0","0"
"134","fully connected","normal","100","25","7","0","0","0"
"135","fully connected","normal","100","25","7","0","0","0"
"137","fully connected","normal","100","25","7","0","0","0"
"136","fully connected","normal","100","25","7","0","0","0"
"114","fully connected","normal","100","25","6","0","0","0"
"141","fully connected","normal","100","25","8","0","0","0"
"140","fully connected","normal","100","25","7","0","0","0"
"139","fully connected","normal","100","25","7","0","0","0"
"138","fully connected","normal","100","25","7","0","0","0"
"142","fully connected","normal","100","25","8","0","0","0"
"144","fully connected","normal","100","25","8","0","0","0"
"148","fully connected","normal","100","25","8","0","0","0"
"146","fully connected","normal","100","25","8","0","0","0"
"144","fully connected","normal","100","25","8","1","1","1"
"143","fully connected","normal","100","25","8","0","0","0"
"145","fully connected","normal","100","25","8","0","0","0"
"149","fully connected","normal","100","25","8","0","0","0"
"150","fully connected","normal","100","25","8","0","0","0"
"152","fully connected","normal","100","25","8","0","0","0"
"151","fully connected","normal","100","25","8","0","0","0"
"153","fully connected","normal","100","25","8","0","0","0"
"154","fully connected","normal","100","25","8","0","0","0"
"155","fully connected","normal","100","25","8","0","0","0"
"157","fully connected","normal","100","25","8","0","0","0"
"158","fully connected","normal","100","25","8","0","0","0"
"156","fully connected","normal","100","25","8","0","0","0"
"159","fully connected","normal","100","25","8","0","0","0"
"160","fully connected","normal","100","25","8","0","0","0"
"161","fully connected","normal","100","25","9","0","0","0"
"162","fully connected","normal","100","25","9","0","0","0"
"162","fully connected","normal","100","25","9","1","1","1"
"164","fully connected","normal","100","25","9","0","0","0"
"164","fully connected","normal","100","25","9","1","1","1"
"163","fully connected","normal","100","25","9","0","0","0"
"165","fully connected","normal","100","25","9","0","0","0"
"163","fully connected","normal","100","25","9","1","1","1"
"166","fully connected","normal","100","25","9","0","0","0"
"168","fully connected","normal","100","25","9","0","0","0"
"167","fully connected","normal","100","25","9","0","0","0"
"168","fully connected","normal","100","25","9","1","1","1"
"167","fully connected","normal","100","25","9","1","3","1"
"147","fully connected","normal","100","25","8","0","0","0"
"170","fully connected","normal","100","25","9","0","0","0"
"169","fully connected","normal","100","25","9","0","0","0"
"171","fully connected","normal","100","25","9","0","0","0"
"172","fully connected","normal","100","25","9","0","0","0"
"171","fully connected","normal","100","25","9","1","1","1"
"173","fully connected","normal","100","25","9","0","0","0"
"175","fully connected","normal","100","25","9","0","0","0"
"176","fully connected","normal","100","25","9","0","0","0"
"174","fully connected","normal","100","25","9","0","0","0"
"179","fully connected","normal","100","25","9","0","0","0"
"174","fully connected","normal","100","25","9","1","2","1"
"178","fully connected","normal","100","25","9","0","0","0"
"181","fully connected","normal","100","25","10","0","0","0"
"182","fully connected","normal","100","25","10","0","0","0"
"180","fully connected","normal","100","25","9","0","0","0"
"182","fully connected","normal","100","25","10","1","2","1"
"184","fully connected","normal","100","25","10","0","0","0"
"183","fully connected","normal","100","25","10","0","0","0"
"185","fully connected","normal","100","25","10","0","0","0"
"187","fully connected","normal","100","25","10","0","0","0"
"188","fully connected","normal","100","25","10","0","0","0"
"186","fully connected","normal","100","25","10","0","0","0"
"188","fully connected","normal","100","25","10","1","1","1"
"189","fully connected","normal","100","25","10","0","0","0"
"190","fully connected","normal","100","25","10","0","0","0"
"190","fully connected","normal","100","25","10","1","1","1"
"192","fully connected","normal","100","25","10","0","0","0"
"191","fully connected","normal","100","25","10","0","0","0"
"193","fully connected","normal","100","25","10","0","0","0"
"193","fully connected","normal","100","25","10","1","1","1"
"194","fully connected","normal","100","25","10","0","0","0"
"195","fully connected","normal","100","25","10","0","0","0"
"195","fully connected","normal","100","25","10","1","2","1"
"196","fully connected","normal","100","25","10","0","0","0"
"197","fully connected","normal","100","25","10","0","0","0"
"196","fully connected","normal","100","25","10","1","3","1"
"198","fully connected","normal","100","25","10","0","0","0"
"197","fully connected","normal","100","25","10","1","2","1"
"199","fully connected","normal","100","25","10","0","0","0"
"177","fully connected","normal","100","25","9","0","0","0"
"200","fully connected","normal","100","25","10","0","0","0"
"201","fully connected","normal","100","25","11","0","0","0"
"200","fully connected","normal","100","25","10","1","3","1"
"201","fully connected","normal","100","25","11","1","4","1"
"200","fully connected","normal","100","25","10","2","6","2"
"203","fully connected","normal","100","25","11","0","0","0"
"202","fully connected","normal","100","25","11","0","0","0"
"204","fully connected","normal","100","25","11","0","0","0"
"204","fully connected","normal","100","25","11","1","1","1"
"203","fully connected","normal","100","25","11","1","1","1"
"202","fully connected","normal","100","25","11","1","3","1"
"204","fully connected","normal","100","25","11","2","2","2"
"200","fully connected","normal","100","25","10","3","11","3"
"202","fully connected","normal","100","25","11","2","7","2"
"205","fully connected","normal","100","25","11","0","0","0"
"200","fully connected","normal","100","25","10","4","27","4"
"202","fully connected","normal","100","25","11","3","14","3"
"200","fully connected","normal","100","25","10","5","98","5"
"202","fully connected","normal","100","25","11","4","47","4"
"205","fully connected","normal","100","25","11","1","6","1"
"200","fully connected","normal","100","25","10","6","100","6"
"202","fully connected","normal","100","25","11","5","99","5"
"202","fully connected","normal","100","25","11","6","100","6"
"207","fully connected","normal","100","25","11","0","0","0"
"208","fully connected","normal","100","25","11","0","0","0"
"209","fully connected","normal","100","25","11","0","0","0"
"208","fully connected","normal","100","25","11","1","3","1"
"208","fully connected","normal","100","25","11","2","5","2"
"210","fully connected","normal","100","25","11","0","0","0"
"212","fully connected","normal","100","25","11","0","0","0"
"210","fully connected","normal","100","25","11","1","4","1"
"211","fully connected","normal","100","25","11","0","0","0"
"212","fully connected","normal","100","25","11","1","1","1"
"210","fully connected","normal","100","25","11","2","5","2"
"211","fully connected","normal","100","25","11","1","6","1"
"211","fully connected","normal","100","25","11","2","11","2"
"213","fully connected","normal","100","25","11","0","0","0"
"211","fully connected","normal","100","25","11","3","15","3"
"213","fully connected","normal","100","25","11","1","3","1"
"211","fully connected","normal","100","25","11","4","70","4"
"213","fully connected","normal","100","25","11","2","4","2"
"214","fully connected","normal","100","25","11","0","0","0"
"215","fully connected","normal","100","25","11","0","0","0"
"214","fully connected","normal","100","25","11","1","4","1"
"211","fully connected","normal","100","25","11","5","100","5"
"214","fully connected","normal","100","25","11","2","6","2"
"215","fully connected","normal","100","25","11","1","2","1"
"214","fully connected","normal","100","25","11","3","9","3"
"214","fully connected","normal","100","25","11","4","12","4"
"215","fully connected","normal","100","25","11","2","4","2"
"214","fully connected","normal","100","25","11","5","13","5"
"215","fully connected","normal","100","25","11","3","5","3"
"214","fully connected","normal","100","25","11","6","33","6"
"214","fully connected","normal","100","25","11","7","96","7"
"217","fully connected","normal","100","25","11","0","0","0"
"214","fully connected","normal","100","25","11","8","100","8"
"216","fully connected","normal","100","25","11","0","0","0"
"218","fully connected","normal","100","25","11","0","0","0"
"219","fully connected","normal","100","25","11","0","0","0"
"219","fully connected","normal","100","25","11","1","1","1"
"220","fully connected","normal","100","25","11","0","0","0"
"220","fully connected","normal","100","25","11","1","1","1"
"222","fully connected","normal","100","25","12","0","0","0"
"221","fully connected","normal","100","25","12","0","0","0"
"221","fully connected","normal","100","25","12","1","4","1"
"223","fully connected","normal","100","25","12","0","0","0"
"224","fully connected","normal","100","25","12","0","0","0"
"225","fully connected","normal","100","25","12","0","0","0"
"226","fully connected","normal","100","25","12","0","0","0"
"227","fully connected","normal","100","25","12","0","0","0"
"206","fully connected","normal","100","25","11","0","0","0"
"225","fully connected","normal","100","25","12","1","1","1"
"226","fully connected","normal","100","25","12","1","4","1"
"227","fully connected","normal","100","25","12","1","3","1"
"227","fully connected","normal","100","25","12","2","4","2"
"226","fully connected","normal","100","25","12","2","5","2"
"225","fully connected","normal","100","25","12","2","4","2"
"228","fully connected","normal","100","25","12","0","0","0"
"225","fully connected","normal","100","25","12","3","6","3"
"228","fully connected","normal","100","25","12","1","1","1"
"229","fully connected","normal","100","25","12","0","0","0"
"230","fully connected","normal","100","25","12","0","0","0"
"229","fully connected","normal","100","25","12","1","1","1"
"230","fully connected","normal","100","25","12","1","4","1"
"231","fully connected","normal","100","25","12","0","0","0"
"231","fully connected","normal","100","25","12","1","3","1"
"231","fully connected","normal","100","25","12","2","4","2"
"232","fully connected","normal","100","25","12","0","0","0"
"232","fully connected","normal","100","25","12","1","5","1"
"232","fully connected","normal","100","25","12","2","11","2"
"232","fully connected","normal","100","25","12","3","17","3"
"233","fully connected","normal","100","25","12","0","0","0"
"232","fully connected","normal","100","25","12","4","70","4"
"232","fully connected","normal","100","25","12","5","100","5"
"234","fully connected","normal","100","25","12","0","0","0"
"234","fully connected","normal","100","25","12","1","2","1"
"233","fully connected","normal","100","25","12","1","2","1"
"233","fully connected","normal","100","25","12","2","4","2"
"235","fully connected","normal","100","25","12","0","0","0"
"235","fully connected","normal","100","25","12","1","2","1"
"236","fully connected","normal","100","25","12","0","0","0"
"233","fully connected","normal","100","25","12","3","6","3"
"236","fully connected","normal","100","25","12","1","3","1"
"233","fully connected","normal","100","25","12","4","8","4"
"237","fully connected","normal","100","25","12","0","0","0"
"236","fully connected","normal","100","25","12","2","4","2"
"237","fully connected","normal","100","25","12","1","5","1"
"236","fully connected","normal","100","25","12","3","5","3"
"237","fully connected","normal","100","25","12","2","11","2"
"233","fully connected","normal","100","25","12","5","10","5"
"237","fully connected","normal","100","25","12","3","17","3"
"238","fully connected","normal","100","25","12","0","0","0"
"237","fully connected","normal","100","25","12","4","84","4"
"233","fully connected","normal","100","25","12","6","18","6"
"238","fully connected","normal","100","25","12","1","2","1"
"237","fully connected","normal","100","25","12","5","100","5"
"238","fully connected","normal","100","25","12","2","4","2"
"233","fully connected","normal","100","25","12","7","83","7"
"238","fully connected","normal","100","25","12","3","7","3"
"239","fully connected","normal","100","25","12","0","0","0"
"233","fully connected","normal","100","25","12","8","100","8"
"238","fully connected","normal","100","25","12","4","10","4"
"239","fully connected","normal","100","25","12","1","2","1"
"238","fully connected","normal","100","25","12","5","15","5"
"238","fully connected","normal","100","25","12","6","23","6"
"238","fully connected","normal","100","25","12","7","84","7"
"240","fully connected","normal","100","25","12","0","0","0"
"238","fully connected","normal","100","25","12","8","100","8"
"240","fully connected","normal","100","25","12","1","4","1"
"241","fully connected","normal","100","25","13","0","0","0"
"241","fully connected","normal","100","25","13","1","8","1"
"242","fully connected","normal","100","25","13","0","0","0"
"241","fully connected","normal","100","25","13","2","20","2"
"242","fully connected","normal","100","25","13","1","17","1"
"242","fully connected","normal","100","25","13","2","79","2"
"241","fully connected","normal","100","25","13","3","54","3"
"242","fully connected","normal","100","25","13","3","100","3"
"241","fully connected","normal","100","25","13","4","100","4"
"243","fully connected","normal","100","25","13","0","0","0"
"243","fully connected","normal","100","25","13","1","3","1"
"206","fully connected","normal","100","25","11","1","1","1"
"244","fully connected","normal","100","25","13","0","0","0"
"246","fully connected","normal","100","25","13","0","0","0"
"244","fully connected","normal","100","25","13","1","2","1"
"245","fully connected","normal","100","25","13","0","0","0"
"246","fully connected","normal","100","25","13","1","1","1"
"245","fully connected","normal","100","25","13","1","1","1"
"247","fully connected","normal","100","25","13","0","0","0"
"247","fully connected","normal","100","25","13","1","6","1"
"248","fully connected","normal","100","25","13","0","0","0"
"247","fully connected","normal","100","25","13","2","16","2"
"248","fully connected","normal","100","25","13","1","3","1"
"247","fully connected","normal","100","25","13","3","62","3"
"248","fully connected","normal","100","25","13","2","4","2"
"247","fully connected","normal","100","25","13","4","100","4"
"249","fully connected","normal","100","25","13","0","0","0"
"249","fully connected","normal","100","25","13","1","4","1"
"249","fully connected","normal","100","25","13","2","5","2"
"249","fully connected","normal","100","25","13","3","7","3"
"249","fully connected","normal","100","25","13","4","11","4"
"249","fully connected","normal","100","25","13","5","42","5"
"252","fully connected","normal","100","25","13","0","0","0"
"251","fully connected","normal","100","25","13","0","0","0"
"249","fully connected","normal","100","25","13","6","98","6"
"249","fully connected","normal","100","25","13","7","100","7"
"252","fully connected","normal","100","25","13","1","4","1"
"251","fully connected","normal","100","25","13","1","3","1"
"254","fully connected","normal","100","25","13","0","0","0"
"255","fully connected","normal","100","25","13","0","0","0"
"253","fully connected","normal","100","25","13","0","0","0"
"254","fully connected","normal","100","25","13","1","6","1"
"255","fully connected","normal","100","25","13","1","4","1"
"253","fully connected","normal","100","25","13","1","1","1"
"254","fully connected","normal","100","25","13","2","10","2"
"255","fully connected","normal","100","25","13","2","5","2"
"254","fully connected","normal","100","25","13","3","19","3"
"255","fully connected","normal","100","25","13","3","7","3"
"254","fully connected","normal","100","25","13","4","78","4"
"256","fully connected","normal","100","25","13","0","0","0"
"254","fully connected","normal","100","25","13","5","100","5"
"256","fully connected","normal","100","25","13","1","10","1"
"256","fully connected","normal","100","25","13","2","39","2"
"257","fully connected","normal","100","25","13","0","0","0"
"256","fully connected","normal","100","25","13","3","98","3"
"258","fully connected","normal","100","25","13","0","0","0"
"257","fully connected","normal","100","25","13","1","13","1"
"256","fully connected","normal","100","25","13","4","100","4"
"257","fully connected","normal","100","25","13","2","56","2"
"258","fully connected","normal","100","25","13","1","5","1"
"257","fully connected","normal","100","25","13","3","100","3"
"258","fully connected","normal","100","25","13","2","9","2"
"260","fully connected","normal","100","25","13","0","0","0"
"258","fully connected","normal","100","25","13","3","12","3"
"260","fully connected","normal","100","25","13","1","2","1"
"259","fully connected","normal","100","25","13","0","0","0"
"258","fully connected","normal","100","25","13","4","39","4"
"260","fully connected","normal","100","25","13","2","18","2"
"259","fully connected","normal","100","25","13","1","4","1"
"261","fully connected","normal","100","25","14","0","0","0"
"260","fully connected","normal","100","25","13","3","77","3"
"261","fully connected","normal","100","25","14","1","27","1"
"260","fully connected","normal","100","25","13","4","100","4"
"258","fully connected","normal","100","25","13","5","99","5"
"261","fully connected","normal","100","25","14","2","93","2"
"258","fully connected","normal","100","25","13","6","100","6"
"262","fully connected","normal","100","25","14","0","0","0"
"261","fully connected","normal","100","25","14","3","100","3"
"262","fully connected","normal","100","25","14","1","3","1"
"263","fully connected","normal","100","25","14","0","0","0"
"263","fully connected","normal","100","25","14","1","2","1"
"263","fully connected","normal","100","25","14","2","4","2"
"264","fully connected","normal","100","25","14","0","0","0"
"263","fully connected","normal","100","25","14","3","6","3"
"264","fully connected","normal","100","25","14","1","6","1"
"264","fully connected","normal","100","25","14","2","27","2"
"265","fully connected","normal","100","25","14","0","0","0"
"264","fully connected","normal","100","25","14","3","90","3"
"265","fully connected","normal","100","25","14","1","7","1"
"264","fully connected","normal","100","25","14","4","100","4"
"265","fully connected","normal","100","25","14","2","28","2"
"266","fully connected","normal","100","25","14","0","0","0"
"265","fully connected","normal","100","25","14","3","88","3"
