"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"mean-effect"
"05/25/2026 19:52:47:781 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","sd-threshold","mean-threshold","[step]","final-proportion","ticks"
"42","fully connected","normal","100","20","2","2","100","2"
"41","fully connected","normal","100","20","2","2","100","2"
"43","fully connected","normal","100","20","2","2","100","2"
"44","fully connected","normal","100","20","2","0","0","0"
"44","fully connected","normal","100","20","2","1","81","1"
"44","fully connected","normal","100","20","2","2","100","2"
"46","fully connected","normal","100","20","2","0","0","0"
"46","fully connected","normal","100","20","2","1","80","1"
"45","fully connected","normal","100","20","2","0","0","0"
"46","fully connected","normal","100","20","2","2","100","2"
"45","fully connected","normal","100","20","2","1","77","1"
"45","fully connected","normal","100","20","2","2","100","2"
"48","fully connected","normal","100","20","2","0","0","0"
"48","fully connected","normal","100","20","2","1","80","1"
"48","fully connected","normal","100","20","2","2","100","2"
"49","fully connected","normal","100","20","2","0","0","0"
"49","fully connected","normal","100","20","2","1","81","1"
"49","fully connected","normal","100","20","2","2","100","2"
"47","fully connected","normal","100","20","2","0","0","0"
"47","fully connected","normal","100","20","2","1","91","1"
"50","fully connected","normal","100","20","2","0","0","0"
"47","fully connected","normal","100","20","2","2","100","2"
"50","fully connected","normal","100","20","2","1","85","1"
"51","fully connected","normal","100","20","2","0","0","0"
"50","fully connected","normal","100","20","2","2","100","2"
"51","fully connected","normal","100","20","2","1","81","1"
"52","fully connected","normal","100","20","2","0","0","0"
"51","fully connected","normal","100","20","2","2","100","2"
"52","fully connected","normal","100","20","2","1","89","1"
"52","fully connected","normal","100","20","2","2","100","2"
"53","fully connected","normal","100","20","2","0","0","0"
"53","fully connected","normal","100","20","2","1","85","1"
"53","fully connected","normal","100","20","2","2","100","2"
"1","fully connected","normal","100","20","1","2","100","2"
"54","fully connected","normal","100","20","2","0","0","0"
"55","fully connected","normal","100","20","2","0","0","0"
"54","fully connected","normal","100","20","2","1","89","1"
"55","fully connected","normal","100","20","2","1","90","1"
"54","fully connected","normal","100","20","2","2","100","2"
"55","fully connected","normal","100","20","2","2","100","2"
"57","fully connected","normal","100","20","2","0","0","0"
"56","fully connected","normal","100","20","2","0","0","0"
"57","fully connected","normal","100","20","2","1","88","1"
"56","fully connected","normal","100","20","2","1","91","1"
"57","fully connected","normal","100","20","2","2","100","2"
"58","fully connected","normal","100","20","2","0","0","0"
"59","fully connected","normal","100","20","2","0","0","0"
"58","fully connected","normal","100","20","2","1","84","1"
"59","fully connected","normal","100","20","2","1","87","1"
"58","fully connected","normal","100","20","2","2","100","2"
"59","fully connected","normal","100","20","2","2","100","2"
"62","fully connected","normal","100","20","3","0","0","0"
"61","fully connected","normal","100","20","3","0","0","0"
"61","fully connected","normal","100","20","3","1","80","1"
"62","fully connected","normal","100","20","3","1","81","1"
"61","fully connected","normal","100","20","3","2","100","2"
"62","fully connected","normal","100","20","3","2","100","2"
"63","fully connected","normal","100","20","3","0","0","0"
"63","fully connected","normal","100","20","3","1","89","1"
"63","fully connected","normal","100","20","3","2","100","2"
"64","fully connected","normal","100","20","3","0","0","0"
"65","fully connected","normal","100","20","3","0","0","0"
"64","fully connected","normal","100","20","3","1","73","1"
"65","fully connected","normal","100","20","3","1","90","1"
"64","fully connected","normal","100","20","3","2","100","2"
"65","fully connected","normal","100","20","3","2","100","2"
"66","fully connected","normal","100","20","3","0","0","0"
"67","fully connected","normal","100","20","3","0","0","0"
"66","fully connected","normal","100","20","3","1","93","1"
"67","fully connected","normal","100","20","3","1","77","1"
"66","fully connected","normal","100","20","3","2","100","2"
"67","fully connected","normal","100","20","3","2","100","2"
"68","fully connected","normal","100","20","3","0","0","0"
"68","fully connected","normal","100","20","3","1","85","1"
"68","fully connected","normal","100","20","3","2","100","2"
"69","fully connected","normal","100","20","3","0","0","0"
"70","fully connected","normal","100","20","3","0","0","0"
"69","fully connected","normal","100","20","3","1","89","1"
"70","fully connected","normal","100","20","3","1","81","1"
"71","fully connected","normal","100","20","3","0","0","0"
"70","fully connected","normal","100","20","3","2","100","2"
"71","fully connected","normal","100","20","3","1","78","1"
"69","fully connected","normal","100","20","3","2","100","2"
"71","fully connected","normal","100","20","3","2","100","2"
"72","fully connected","normal","100","20","3","0","0","0"
"72","fully connected","normal","100","20","3","1","88","1"
"72","fully connected","normal","100","20","3","2","100","2"
"73","fully connected","normal","100","20","3","0","0","0"
"73","fully connected","normal","100","20","3","1","79","1"
"73","fully connected","normal","100","20","3","2","100","2"
"74","fully connected","normal","100","20","3","0","0","0"
"75","fully connected","normal","100","20","3","0","0","0"
"74","fully connected","normal","100","20","3","1","88","1"
"75","fully connected","normal","100","20","3","1","81","1"
"74","fully connected","normal","100","20","3","2","100","2"
"76","fully connected","normal","100","20","3","0","0","0"
"75","fully connected","normal","100","20","3","2","100","2"
"76","fully connected","normal","100","20","3","1","92","1"
"76","fully connected","normal","100","20","3","2","100","2"
"77","fully connected","normal","100","20","3","0","0","0"
"77","fully connected","normal","100","20","3","1","87","1"
"77","fully connected","normal","100","20","3","2","100","2"
"78","fully connected","normal","100","20","3","0","0","0"
"78","fully connected","normal","100","20","3","1","87","1"
"79","fully connected","normal","100","20","3","0","0","0"
"78","fully connected","normal","100","20","3","2","100","2"
"79","fully connected","normal","100","20","3","1","77","1"
"80","fully connected","normal","100","20","3","0","0","0"
"79","fully connected","normal","100","20","3","2","100","2"
"80","fully connected","normal","100","20","3","1","75","1"
"81","fully connected","normal","100","20","3","0","0","0"
"80","fully connected","normal","100","20","3","2","100","2"
"81","fully connected","normal","100","20","3","1","87","1"
"60","fully connected","normal","100","20","2","0","0","0"
"81","fully connected","normal","100","20","3","2","100","2"
"82","fully connected","normal","100","20","3","0","0","0"
"82","fully connected","normal","100","20","3","1","81","1"
"83","fully connected","normal","100","20","3","0","0","0"
"82","fully connected","normal","100","20","3","2","100","2"
"83","fully connected","normal","100","20","3","1","75","1"
"83","fully connected","normal","100","20","3","2","100","2"
"85","fully connected","normal","100","20","3","0","0","0"
"84","fully connected","normal","100","20","3","0","0","0"
"84","fully connected","normal","100","20","3","1","93","1"
"85","fully connected","normal","100","20","3","1","86","1"
"85","fully connected","normal","100","20","3","2","100","2"
"84","fully connected","normal","100","20","3","2","100","2"
"56","fully connected","normal","100","20","2","2","100","2"
"86","fully connected","normal","100","20","3","0","0","0"
"86","fully connected","normal","100","20","3","1","80","1"
"86","fully connected","normal","100","20","3","2","100","2"
"87","fully connected","normal","100","20","3","0","0","0"
"88","fully connected","normal","100","20","3","0","0","0"
"87","fully connected","normal","100","20","3","1","90","1"
"88","fully connected","normal","100","20","3","1","91","1"
"88","fully connected","normal","100","20","3","2","100","2"
"87","fully connected","normal","100","20","3","2","100","2"
"89","fully connected","normal","100","20","3","0","0","0"
"89","fully connected","normal","100","20","3","1","71","1"
"91","fully connected","normal","100","20","4","0","0","0"
"89","fully connected","normal","100","20","3","2","100","2"
"91","fully connected","normal","100","20","4","1","88","1"
"91","fully connected","normal","100","20","4","2","100","2"
"90","fully connected","normal","100","20","3","0","0","0"
"90","fully connected","normal","100","20","3","1","79","1"
"90","fully connected","normal","100","20","3","2","100","2"
"92","fully connected","normal","100","20","4","0","0","0"
"92","fully connected","normal","100","20","4","1","77","1"
"92","fully connected","normal","100","20","4","2","100","2"
"94","fully connected","normal","100","20","4","0","0","0"
"93","fully connected","normal","100","20","4","0","0","0"
"94","fully connected","normal","100","20","4","1","85","1"
"93","fully connected","normal","100","20","4","1","86","1"
"94","fully connected","normal","100","20","4","2","100","2"
"93","fully connected","normal","100","20","4","2","100","2"
"96","fully connected","normal","100","20","4","0","0","0"
"95","fully connected","normal","100","20","4","0","0","0"
"97","fully connected","normal","100","20","4","0","0","0"
"96","fully connected","normal","100","20","4","1","77","1"
"95","fully connected","normal","100","20","4","1","80","1"
"96","fully connected","normal","100","20","4","2","100","2"
"97","fully connected","normal","100","20","4","1","88","1"
"95","fully connected","normal","100","20","4","2","100","2"
"97","fully connected","normal","100","20","4","2","100","2"
"98","fully connected","normal","100","20","4","0","0","0"
"98","fully connected","normal","100","20","4","1","96","1"
"60","fully connected","normal","100","20","2","1","87","1"
"98","fully connected","normal","100","20","4","2","100","2"
"100","fully connected","normal","100","20","4","0","0","0"
"100","fully connected","normal","100","20","4","1","92","1"
