"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:38:741 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","25","22","0","0","0","0","0"
"fully connected","normal","100","25","22","1","26.7","8.894380248224156","1","0"
"fully connected","normal","100","25","22","2","76.7","16.072025385744013","2","0"
"fully connected","normal","100","25","22","3","98.15789473684211","5.264210421073678","3","0"
"fully connected","normal","100","25","22","4","100","0","4","0"
"fully connected","normal","100","25","23","0","0","0","0","0"
"fully connected","normal","100","25","23","1","27.35","9.183000598932791","1","0"
"fully connected","normal","100","25","23","2","77.6","14.192955999368136","2","0"
"fully connected","normal","100","25","23","3","98.95","1.9358460682605938","3","0"
"fully connected","normal","100","25","23","4","100","0","4","0"
"fully connected","normal","100","25","24","0","0","0","0","0"
"fully connected","normal","100","25","24","1","30.4","8.901685233707157","1","0"
"fully connected","normal","100","25","24","2","76.9","18.316386106434862","2","0"
"fully connected","normal","100","25","24","3","96.25","13.419668401268341","3","0"
"fully connected","normal","100","25","24","4","97.14285714285714","6.998542122237652","4","0"
"fully connected","normal","100","25","24","5","100","N/A","5","N/A"
"fully connected","normal","100","25","25","0","0","0","0","0"
"fully connected","normal","100","25","25","1","31.45","12.77292057440271","1","0"
"fully connected","normal","100","25","25","2","78.05","14.722346959639284","2","0"
"fully connected","normal","100","25","25","3","98.26315789473684","3.2902104438079536","3","0"
"fully connected","normal","100","25","25","4","99.875","0.33071891388307384","4","0"
"fully connected","normal","100","25","25","5","100","N/A","5","N/A"
"fully connected","normal","100","25","26","0","0","0","0","0"
"fully connected","normal","100","25","26","1","34.4","10.547037498748168","1","0"
"fully connected","normal","100","25","26","2","82.8","12.882546332150332","2","0"
"fully connected","normal","100","25","26","3","98.65","1.9817921182606422","3","0"
"fully connected","normal","100","25","26","4","99.55555555555556","0.6849348892187752","4","0"
"fully connected","normal","100","25","26","5","100","N/A","5","N/A"
"fully connected","normal","100","25","27","0","0","0","0","0"
"fully connected","normal","100","25","27","1","36.8","10.433599570617995","1","0"
"fully connected","normal","100","25","27","2","84.35","12.0634779396325","2","0"
"fully connected","normal","100","25","27","3","99","1.4832396974191326","3","0"
"fully connected","normal","100","25","27","4","99.66666666666667","0.4714045207910317","4","0"
"fully connected","normal","100","25","27","5","100","0","5","0"
"fully connected","normal","100","25","28","0","0","0","0","0"
"fully connected","normal","100","25","28","1","34.25","7.495832175282475","1","0"
"fully connected","normal","100","25","28","2","79.15","11.163668751803772","2","0"
"fully connected","normal","100","25","28","3","97.45","2.558808316384797","3","0"
"fully connected","normal","100","25","28","4","99.21428571428571","1.2058530725810093","4","0"
"fully connected","normal","100","25","28","5","100","N/A","5","N/A"
"fully connected","normal","100","25","29","0","0","0","0","0"
"fully connected","normal","100","25","29","1","36.5","8.375559682791353","1","0"
"fully connected","normal","100","25","29","2","82.55","10.224847187122162","2","0"
"fully connected","normal","100","25","29","3","98.35","1.7684739183827392","3","0"
"fully connected","normal","100","25","29","4","99.58333333333333","0.8620067027323832","4","0"
"fully connected","normal","100","25","29","5","100","N/A","5","N/A"
"fully connected","normal","100","25","30","0","0","0","0","0"
"fully connected","normal","100","25","30","1","39","9.486832980505138","1","0"
"fully connected","normal","100","25","30","2","82.1","13.747363383572866","2","0"
"fully connected","normal","100","25","30","3","97.3","4.337049688440288","3","0"
"fully connected","normal","100","25","30","4","99.53846153846153","0.7457969011409736","4","0"
"fully connected","normal","100","25","30","5","100","0","5","0"
"fully connected","normal","100","25","31","0","0","0","0","0"
"fully connected","normal","100","25","31","1","41.8","9.851903369400251","1","0"
"fully connected","normal","100","25","31","2","84.35","9.763580285940193","2","0"
